Date,Open,High,Low,Close,Adj Close,Volume
1992-07-10,15.25,15.375,15.0,15.0,1.1788074970245361,1135700
1992-07-13,15.0,15.125,14.875,15.0,1.1788074970245361,420400
1992-07-14,15.0,15.0,14.875,14.875,1.1689841747283936,165400
1992-07-15,15.0,15.0,14.875,14.875,1.1689841747283936,72200
1992-07-16,14.875,15.0,14.875,15.0,1.1788074970245361,27600
1992-07-17,14.875,15.0,14.875,15.0,1.1788074970245361,174400
1992-07-20,14.875,15.0,14.75,14.75,1.1591607332229614,152500
1992-07-21,14.75,14.875,14.75,14.75,1.1591607332229614,45200
1992-07-22,14.875,14.875,14.375,14.375,1.129690170288086,260400
1992-07-23,14.5,14.5,14.0,14.0,1.1002203226089478,179100
1992-07-24,14.0,14.125,14.0,14.0,1.1002203226089478,111800
1992-07-27,14.0,14.25,14.0,14.125,1.1100436449050903,58000
1992-07-28,14.25,14.25,14.0,14.125,1.1100436449050903,38500
1992-07-29,14.125,14.625,14.125,14.625,1.149336814880371,12800
1992-07-30,14.375,14.625,14.375,14.5,1.1395138502120972,23100
1992-07-31,14.625,14.625,14.5,14.5,1.1395138502120972,47200
1992-08-03,14.5,14.625,14.375,14.625,1.149336814880371,21000
1992-08-04,14.75,14.75,14.375,14.375,1.129690170288086,16600
1992-08-05,14.5,14.5,14.125,14.25,1.1198670864105225,9900
1992-08-06,14.125,14.375,14.125,14.25,1.1198670864105225,9700
1992-08-07,14.25,14.25,14.0,14.125,1.1100436449050903,32700
1992-08-10,14.0,14.25,14.0,14.25,1.1198670864105225,96100
1992-08-11,14.375,14.625,14.25,14.5,1.1395138502120972,45500
1992-08-12,14.5,14.5,13.75,14.0,1.1002203226089478,71800
1992-08-13,14.0,14.0,13.875,13.875,1.090396761894226,15500
1992-08-14,13.875,14.125,13.875,14.125,1.1100436449050903,14000
1992-08-17,14.0,14.0,13.5,13.625,1.0707498788833618,35300
1992-08-18,13.375,13.5,13.375,13.375,1.0511034727096558,27300
1992-08-19,13.5,13.5,13.0,13.0,1.0216331481933594,36300
1992-08-20,13.0,13.0,12.5,12.5,0.9823395609855652,166900
1992-08-21,12.625,12.75,12.5,12.75,1.0019861459732056,43900
1992-08-24,12.625,12.625,12.125,12.375,0.972515881061554,35000
1992-08-25,12.25,12.375,12.25,12.375,0.972515881061554,32000
1992-08-26,12.5,13.0,12.375,13.0,1.0216331481933594,36000
1992-08-27,13.125,13.5,13.125,13.125,1.031456470489502,62800
1992-08-28,13.25,13.375,13.125,13.25,1.041279673576355,23000
1992-08-31,13.25,13.375,13.125,13.125,1.031456470489502,24100
1992-09-01,13.125,13.25,13.0,13.25,1.041279673576355,36300
1992-09-02,13.25,13.375,13.125,13.25,1.041279673576355,35900
1992-09-03,13.375,13.375,13.0,13.125,1.031456470489502,48800
1992-09-04,13.25,13.25,13.0,13.25,1.041279673576355,13700
1992-09-08,13.0,13.125,12.875,13.125,1.031456470489502,32400
1992-09-09,13.0,13.125,12.625,13.0,1.0216331481933594,26700
1992-09-10,13.125,13.25,13.125,13.25,1.041279673576355,14300
1992-09-11,13.25,13.25,13.0,13.0,1.0216331481933594,13700
1992-09-14,13.0,13.25,12.875,13.125,1.031456470489502,18900
1992-09-15,13.0,13.0,12.75,12.875,1.0118095874786377,16800
1992-09-16,12.875,12.875,12.5,12.875,1.0118095874786377,41800
1992-09-17,12.75,12.875,12.625,12.75,1.0019861459732056,14600
1992-09-18,12.375,12.625,12.375,12.625,0.9921628832817078,13500
1992-09-21,12.25,12.375,12.125,12.125,0.9528694152832031,45800
1992-09-22,12.125,12.25,12.0,12.0,0.943045973777771,38900
1992-09-23,12.125,12.125,12.0,12.125,0.9528694152832031,22400
1992-09-24,12.125,12.375,12.125,12.25,0.9626927971839905,27300
1992-09-25,12.125,12.25,12.0,12.0,0.943045973777771,59900
1992-09-28,12.0,12.125,12.0,12.0,0.943045973777771,40100
1992-09-29,12.0,12.25,12.0,12.0,0.943045973777771,20500
1992-09-30,12.125,12.125,12.0,12.0,0.943045973777771,17100
1992-10-01,12.0,12.0,11.875,12.0,0.943045973777771,15500
1992-10-02,12.0,12.0,11.875,12.0,0.943045973777771,18200
1992-10-05,12.0,12.0,11.25,11.875,0.9332225322723389,67500
1992-10-06,11.875,11.875,11.625,11.875,0.9332225322723389,21800
1992-10-07,11.875,11.875,11.625,11.75,0.9233990907669067,19300
1992-10-08,11.75,11.75,11.625,11.75,0.9233990907669067,18000
1992-10-09,11.75,12.0,11.625,12.0,0.943045973777771,35800
1992-10-12,12.0,12.25,11.875,11.875,0.9332225322723389,44900
1992-10-13,11.75,11.875,11.75,11.875,0.9332225322723389,45600
1992-10-14,11.875,12.125,11.75,11.75,0.9233990907669067,36200
1992-10-15,11.875,12.0,11.75,11.875,0.9332225322723389,47400
1992-10-16,12.0,12.25,11.875,12.125,0.9528694152832031,19000
1992-10-19,12.125,12.625,12.125,12.5,0.9823395609855652,32000
1992-10-20,12.625,13.125,12.625,13.125,1.031456470489502,100800
1992-10-21,13.375,13.75,13.375,13.625,1.0707498788833618,68900
1992-10-22,14.0,14.125,13.75,13.875,1.090396761894226,123200
1992-10-23,14.125,14.125,13.75,13.75,1.080573320388794,45600
1992-10-26,13.625,13.75,13.375,13.625,1.0707498788833618,37900
1992-10-27,13.625,13.875,13.625,13.625,1.0707498788833618,18500
1992-10-28,13.5,13.75,13.375,13.75,1.080573320388794,54500
1992-10-29,13.5,13.75,13.5,13.625,1.0707498788833618,19900
1992-10-30,13.75,14.0,13.75,14.0,1.1002203226089478,60900
1992-11-02,14.0,14.0,13.625,14.0,1.1002203226089478,19800
1992-11-03,14.125,14.125,13.875,14.0,1.1002203226089478,31300
1992-11-04,14.0,14.125,14.0,14.0,1.1002203226089478,28100
