Date,Open,High,Low,Close,Adj Close,Volume
1997-11-13,15.75,15.78125,14.875,15.25,4.434860706329346,260000
1997-11-14,15.375,15.4375,15.1875,15.3125,4.453038215637207,45000
1997-11-17,15.625,15.75,15.5,15.59375,4.53482723236084,49400
1997-11-18,15.65625,15.65625,15.53125,15.53125,4.516650676727295,10600
1997-11-19,15.5,15.59375,15.46875,15.59375,4.53482723236084,6000
1997-11-20,15.625,15.8125,15.625,15.71875,4.571176528930664,21600
1997-11-21,15.75,15.9375,15.75,15.84375,4.6075286865234375,16200
1997-11-24,15.78125,15.84375,15.71875,15.71875,4.571176528930664,15600
1997-11-25,15.6875,15.6875,15.125,15.46875,4.498474597930908,21000
1997-11-26,15.5,15.53125,14.84375,15.0,4.362156391143799,28600
1997-11-28,15.0,15.0,14.96875,14.96875,4.353068828582764,600
1997-12-01,15.0625,15.75,15.0625,15.75,4.58026647567749,19200
1997-12-02,15.75,16.21875,15.75,15.75,4.58026647567749,21800
1997-12-03,15.875,16.1875,15.75,15.90625,4.62570333480835,34600
1997-12-04,15.9375,16.0625,15.78125,15.78125,4.589354515075684,35200
1997-12-05,15.75,16.0625,15.5,16.03125,4.662057399749756,29200
1997-12-08,16.125,16.625,16.125,16.40625,4.771111011505127,16400
1997-12-09,16.34375,16.6875,16.34375,16.5,4.798370838165283,17200
1997-12-10,16.5,16.53125,16.1875,16.3125,4.743846893310547,32200
1997-12-11,16.25,16.25,15.875,15.96875,4.643880367279053,15600
1997-12-12,16.0,16.21875,15.8125,16.21875,4.716582298278809,34800
1997-12-15,16.28125,16.40625,16.03125,16.25,4.725671291351318,20200
1997-12-16,16.3125,16.4375,15.96875,16.125,4.689319610595703,16600
1997-12-17,16.25,16.3125,15.96875,16.0625,4.671145439147949,30200
1997-12-18,16.09375,16.125,15.875,15.9375,4.634793281555176,17600
1997-12-19,15.875,15.875,15.4375,15.59375,4.53482723236084,30600
1997-12-22,15.625,15.625,15.4375,15.46875,4.498474597930908,14000
1997-12-23,15.46875,15.46875,15.0,15.0,4.362156391143799,336000
1997-12-24,14.8125,14.9375,14.75,14.75,4.3196940422058105,22200
1997-12-26,14.8125,14.90625,14.8125,14.90625,4.365452289581299,3400
1997-12-29,15.0,15.375,15.0,15.375,4.502731800079346,34000
1997-12-30,15.5,15.78125,15.5,15.78125,4.621704578399658,15800
1997-12-31,15.75,15.75,15.625,15.625,4.5759453773498535,10400
1998-01-02,15.625,15.75,15.5625,15.65625,4.585097789764404,27000
1998-01-05,15.6875,16.25,15.6875,16.1875,4.740682601928711,40200
1998-01-06,16.125,16.125,15.9375,15.96875,4.6766157150268555,23200
1998-01-07,15.9375,15.9375,15.4375,15.4375,4.521037578582764,26000
1998-01-08,15.3125,15.34375,15.1875,15.21875,4.456972599029541,36200
1998-01-09,15.09375,15.15625,14.5,14.5,4.246478080749512,16800
1998-01-12,13.9375,14.1875,13.375,13.90625,4.072591781616211,73200
1998-01-13,14.3125,14.34375,14.09375,14.15625,4.145808696746826,16600
1998-01-14,14.28125,14.40625,13.75,14.0,4.100047588348389,54600
1998-01-15,13.8125,13.8125,13.375,13.375,3.9170095920562744,44000
1998-01-16,13.59375,13.59375,13.1875,13.4375,3.9353134632110596,38800
1998-01-20,13.4375,13.4375,13.125,13.3125,3.898707866668701,25200
1998-01-21,13.1875,13.21875,13.125,13.15625,3.852947235107422,35600
1998-01-22,13.125,13.125,12.25,12.5,3.6607558727264404,44800
1998-01-23,14.0,14.1875,12.75,13.21875,3.8712503910064697,105200
1998-01-26,13.34375,14.0625,13.34375,14.0,4.100047588348389,68000
1998-01-27,14.0625,14.59375,14.0625,14.40625,4.219022750854492,17800
1998-01-28,14.40625,14.40625,13.90625,14.0,4.100047588348389,48200
1998-01-29,13.90625,13.90625,13.71875,13.84375,4.054287433624268,16400
1998-01-30,13.84375,13.84375,13.625,13.625,3.990227460861206,28400
1998-02-02,14.0,14.0625,13.9375,13.96875,4.090893745422363,24000
1998-02-03,13.9375,14.5,13.9375,14.375,4.209870338439941,19200
1998-02-04,14.375,14.5625,14.09375,14.09375,4.127502918243408,26200
1998-02-05,14.21875,14.34375,14.21875,14.25,4.173262119293213,15800
1998-02-06,14.5,14.65625,14.5,14.59375,4.273935794830322,43200
1998-02-09,14.6875,14.84375,14.65625,14.8125,4.337996006011963,25200
1998-02-10,14.8125,15.09375,14.75,15.0,4.3929057121276855,38000
1998-02-11,15.125,15.875,15.0,15.625,4.5759453773498535,263800
1998-02-12,15.5,15.84375,15.25,15.6875,4.594250679016113,327800
1998-02-13,15.6875,15.9375,15.3125,15.9375,4.667465686798096,60800
1998-02-17,16.0,16.34375,16.0,16.0,4.685771465301514,62000
1998-02-18,16.0,16.0,15.8125,15.9375,4.667465686798096,19800
1998-02-19,15.9375,15.9375,15.28125,15.375,4.502731800079346,40600
1998-02-20,15.375,15.5,15.125,15.375,4.502731800079346,32200
1998-02-23,15.5,15.8125,15.5,15.8125,4.630857467651367,14400
1998-02-24,15.75,15.90625,15.5,15.71875,4.6034016609191895,18600
1998-02-25,15.75,15.9375,15.6875,15.84375,4.640008926391602,23600
1998-02-26,15.75,16.1875,15.75,16.03125,4.694921493530273,33600
1998-02-27,16.125,16.125,15.875,15.90625,4.658313274383545,19600
1998-03-02,15.90625,15.9375,15.6875,15.6875,4.594250679016113,42600
1998-03-03,15.71875,15.90625,15.59375,15.90625,4.658313274383545,9800
1998-03-04,15.84375,15.84375,15.6875,15.6875,4.594250679016113,17000
1998-03-05,15.59375,15.8125,15.15625,15.5,4.539337635040283,36000
1998-03-06,15.53125,15.71875,15.46875,15.53125,4.548488616943359,23600
1998-03-09,15.65625,16.21875,15.65625,16.03125,4.694921493530273,23400
1998-03-10,16.15625,16.5,16.15625,16.5,4.8321990966796875,33400
1998-03-11,16.5625,16.75,16.5625,16.71875,4.896263599395752,23400
1998-03-12,16.75,17.125,16.5625,17.125,5.015235900878906,39400
1998-03-13,17.3125,17.5,16.625,16.625,4.8688063621521,46600
1998-03-16,16.875,17.34375,16.875,17.3125,5.070147514343262,26400
1998-03-17,17.28125,17.5625,17.09375,17.53125,5.134212017059326,18600
1998-03-18,17.5,17.71875,17.34375,17.4375,5.106756687164307,31800
1998-03-19,17.4375,17.5,17.09375,17.1875,5.033542156219482,25800
1998-03-20,17.125,17.28125,17.125,17.28125,5.060998439788818,16000
1998-03-23,17.25,17.375,16.96875,17.234375,5.047268867492676,62600
1998-03-24,17.28125,17.46875,17.1875,17.46875,5.11591100692749,25800
1998-03-25,17.5625,17.65625,17.5,17.5,5.169447422027588,17800
1998-03-26,17.5,17.625,17.4375,17.4375,5.150986194610596,49000
1998-03-27,17.4375,17.4375,17.3125,17.34375,5.123293399810791,9800
1998-03-30,17.25,17.34375,17.1875,17.1875,5.077136516571045,15200
1998-03-31,17.25,17.40625,17.25,17.3125,5.114059925079346,21800
1998-04-01,17.1875,17.46875,17.1875,17.34375,5.123293399810791,53000
1998-04-02,17.25,17.25,16.90625,17.0625,5.040212154388428,26000
1998-04-03,17.1875,17.3125,17.0625,17.3125,5.114059925079346,66800
1998-04-06,17.5,17.9375,17.5,17.8125,5.261758804321289,54000
