Date,Open,High,Low,Close,Adj Close,Volume
1985-11-20,0.0,4.875,4.8125,4.8125,1.0188148021697998,9597600
1985-11-21,0.0,4.9375,4.90625,4.90625,1.0386625528335571,3405600
1985-11-22,0.0,5.03125,5.0,5.0,1.0585095882415771,1866800
1985-11-25,0.0,4.96875,4.9375,4.9375,1.0452781915664673,1070800
1985-11-26,0.0,4.96875,4.9375,4.9375,1.0452781915664673,586000
1985-11-27,0.0,4.9375,4.875,4.875,1.0320464372634888,666800
1985-11-29,0.0,4.9375,4.875,4.875,1.0320464372634888,499200
1985-12-02,0.0,4.75,4.6875,4.6875,0.9923522472381592,870400
1985-12-03,0.0,4.78125,4.71875,4.71875,0.9989680051803589,318800
1985-12-04,0.0,4.71875,4.65625,4.65625,0.9857363700866699,864400
1985-12-05,0.0,4.75,4.71875,4.71875,0.9989680051803589,706000
1985-12-06,0.0,4.625,4.59375,4.59375,0.9725059270858765,297600
1985-12-09,0.0,4.625,4.53125,4.53125,0.9592737555503845,208000
1985-12-10,0.0,4.5,4.46875,4.46875,0.9460426568984985,402000
1985-12-11,0.0,4.5625,4.53125,4.53125,0.9592737555503845,528400
1985-12-12,0.0,4.6875,4.65625,4.65625,0.9857363700866699,1074000
1985-12-13,0.0,4.75,4.71875,4.71875,0.9989680051803589,270800
1985-12-16,0.0,4.84375,4.8125,4.8125,1.0188148021697998,615200
1985-12-17,0.0,4.8125,4.78125,4.78125,1.0121992826461792,1230000
1985-12-18,0.0,4.84375,4.8125,4.8125,1.0188148021697998,374800
1985-12-19,0.0,4.875,4.8125,4.8125,1.0188148021697998,214000
1985-12-20,0.0,4.875,4.84375,4.84375,1.02543044090271,149600
1985-12-23,0.0,4.90625,4.875,4.875,1.0320464372634888,173600
1985-12-24,0.0,4.90625,4.875,4.875,1.0320464372634888,54000
1985-12-26,0.0,4.90625,4.875,4.875,1.0320464372634888,63200
1985-12-27,0.0,4.90625,4.875,4.875,1.0320464372634888,176000
1985-12-30,0.0,5.0,4.96875,4.96875,1.0518933534622192,509600
1985-12-31,0.0,5.0,4.9375,4.9375,1.0452781915664673,111600
1986-01-02,0.0,5.0,4.9375,4.9375,1.0452781915664673,60400
1986-01-03,0.0,5.0,4.9375,4.9375,1.0452781915664673,59600
1986-01-06,0.0,5.15625,5.09375,5.09375,1.078356385231018,506800
1986-01-07,0.0,5.3125,5.125,5.25,1.1114352941513062,485600
1986-01-08,0.0,5.40625,5.1875,5.1875,1.0982029438018799,624400
1986-01-09,0.0,5.25,5.0625,5.0625,1.0717405080795288,287600
1986-01-10,0.0,5.1875,5.0625,5.125,1.0849720239639282,178000
1986-01-13,0.0,5.1875,5.125,5.125,1.0849720239639282,166800
1986-01-14,0.0,5.1875,5.125,5.125,1.0849720239639282,123600
1986-01-15,0.0,5.25,5.125,5.21875,1.1048187017440796,130800
1986-01-16,0.0,5.28125,5.1875,5.28125,1.118050456047058,266400
1986-01-17,0.0,5.28125,5.21875,5.21875,1.1048187017440796,30400
1986-01-20,0.0,5.21875,5.125,5.125,1.0849720239639282,61600
1986-01-21,0.0,5.1875,5.0625,5.125,1.0849720239639282,148000
1986-01-22,0.0,5.125,5.03125,5.0625,1.0717405080795288,168000
1986-01-23,0.0,5.0625,4.9375,5.0625,1.0717405080795288,133200
1986-01-24,0.0,5.0625,5.0,5.0,1.0585095882415771,126400
1986-01-27,0.0,5.09375,5.0,5.09375,1.078356385231018,264400
1986-01-28,0.0,5.53125,5.03125,5.5,1.1643604040145874,428000
1986-01-29,0.0,5.78125,5.5,5.75,1.2172852754592896,336000
1986-01-30,0.0,5.8125,5.65625,5.75,1.2172852754592896,357600
1986-01-31,0.0,6.21875,5.75,6.125,1.2966736555099487,384400
1986-02-03,0.0,6.25,6.09375,6.21875,1.316521167755127,100000
1986-02-04,0.0,6.375,6.03125,6.1875,1.309905767440796,346400
1986-02-05,0.0,6.15625,6.0625,6.15625,1.3032896518707275,108400
1986-02-06,0.0,6.25,6.125,6.125,1.2966736555099487,56800
1986-02-07,0.0,6.125,5.96875,6.09375,1.290057897567749,134000
1986-02-10,0.0,6.125,6.03125,6.0625,1.2834426164627075,80800
1986-02-11,0.0,6.09375,6.03125,6.03125,1.2768269777297974,34800
1986-02-12,0.0,6.125,6.03125,6.125,1.2966736555099487,37200
1986-02-13,0.0,6.3125,6.09375,6.25,1.3231366872787476,132000
1986-02-14,0.0,6.21875,5.875,6.0625,1.2834426164627075,609600
1986-02-18,0.0,6.0625,6.0,6.0,1.2702112197875977,92800
1986-02-19,0.0,6.03125,5.6875,5.84375,1.2371325492858887,682000
1986-02-20,0.0,5.875,5.8125,5.875,1.2437485456466675,525600
1986-02-21,0.0,6.03125,5.9375,6.0,1.2702112197875977,203200
1986-02-24,0.0,6.21875,5.9375,6.15625,1.3032896518707275,172800
1986-02-25,0.0,6.1875,5.9375,6.0,1.2702112197875977,156000
1986-02-26,0.0,5.96875,5.875,5.90625,1.2503634691238403,68800
1986-02-27,0.0,5.96875,5.875,5.90625,1.2503634691238403,311600
1986-02-28,0.0,6.0,5.9375,5.96875,1.2635961771011353,243600
1986-03-03,0.0,6.0,5.9375,5.9375,1.2569797039031982,44000
1986-03-04,0.0,6.0,5.8125,5.8125,1.2305177450180054,111200
1986-03-05,0.0,5.75,5.65625,5.65625,1.1974382400512695,56000
1986-03-06,0.0,5.8125,5.6875,5.75,1.2172852754592896,300000
1986-03-07,0.0,5.8125,5.71875,5.78125,1.223901391029358,167200
1986-03-10,0.0,5.8125,5.71875,5.8125,1.2412515878677368,86800
1986-03-11,0.0,5.78125,5.71875,5.78125,1.234578013420105,83200
1986-03-12,0.0,5.84375,5.71875,5.84375,1.247925043106079,436000
1986-03-13,0.0,5.875,5.8125,5.8125,1.2412515878677368,163600
1986-03-14,0.0,5.9375,5.84375,5.84375,1.247925043106079,283200
1986-03-17,0.0,5.90625,5.84375,5.875,1.2545990943908691,58000
1986-03-18,0.0,5.90625,5.84375,5.875,1.2545990943908691,162800
1986-03-19,0.0,5.90625,5.8125,5.84375,1.247925043106079,96000
1986-03-20,0.0,5.84375,5.71875,5.71875,1.221232295036316,58800
1986-03-21,0.0,5.78125,5.6875,5.6875,1.2145583629608154,223600
1986-03-24,0.0,5.75,5.46875,5.53125,1.1811907291412354,139600
1986-03-25,0.0,5.53125,5.40625,5.4375,1.161171317100525,317200
1986-03-26,0.0,5.65625,5.5,5.59375,1.194538950920105,420000
1986-03-27,0.0,5.59375,5.59375,5.59375,1.194538950920105,3600
1986-03-31,0.0,5.65625,5.59375,5.59375,1.194538950920105,167600
1986-04-01,0.0,5.65625,5.5625,5.625,1.201211929321289,74400
1986-04-02,0.0,5.59375,5.53125,5.59375,1.194538950920105,13600
1986-04-03,0.0,5.53125,5.4375,5.46875,1.1678444147109985,115600
1986-04-04,0.0,5.46875,5.3125,5.34375,1.141150951385498,215600
1986-04-07,0.0,5.4375,5.1875,5.1875,1.1077837944030762,66000
1986-04-08,0.0,5.25,5.1875,5.1875,1.1077837944030762,197600
1986-04-09,0.0,5.3125,5.25,5.3125,1.134477138519287,1398800
1986-04-10,0.0,5.3125,5.25,5.3125,1.134477138519287,698000
1986-04-11,0.0,5.3125,5.25,5.28125,1.1278047561645508,422000
1986-04-14,0.0,5.46875,5.28125,5.46875,1.1678444147109985,157200
1986-04-15,0.0,5.84375,5.46875,5.8125,1.2412515878677368,129200
1986-04-16,0.0,5.96875,5.84375,5.90625,1.2612727880477905,359600
1986-04-17,0.0,5.90625,5.8125,5.8125,1.2412515878677368,102000
1986-04-18,0.0,5.875,5.8125,5.875,1.2545990943908691,10800
1986-04-21,0.0,5.875,5.8125,5.8125,1.2412515878677368,17200
1986-04-22,0.0,5.875,5.8125,5.875,1.2545990943908691,10400
1986-04-23,0.0,5.875,5.6875,5.71875,1.221232295036316,28000
1986-04-24,0.0,5.71875,5.71875,5.71875,1.221232295036316,10000
1986-04-25,0.0,5.75,5.6875,5.75,1.2279053926467896,331600
1986-04-28,0.0,5.78125,5.71875,5.78125,1.234578013420105,108000
1986-04-29,0.0,5.71875,5.5625,5.5625,1.1878653764724731,31200
1986-04-30,0.0,5.5625,5.375,5.375,1.1478251218795776,92800
1986-05-01,0.0,5.375,5.21875,5.21875,1.1144578456878662,70000
1986-05-02,0.0,5.1875,5.125,5.125,1.0944372415542603,22400
1986-05-05,0.0,5.34375,5.125,5.28125,1.1278047561645508,54000
1986-05-06,0.0,5.375,5.28125,5.34375,1.141150951385498,440800
1986-05-07,0.0,5.375,5.3125,5.3125,1.134477138519287,48000
1986-05-08,0.0,5.3125,5.21875,5.25,1.1211305856704712,96400
1986-05-09,0.0,5.28125,5.21875,5.21875,1.1144578456878662,11600
1986-05-12,0.0,5.28125,5.1875,5.1875,1.1077837944030762,61200
1986-05-13,0.0,5.1875,5.0,5.0,1.0677435398101807,71600
1986-05-14,0.0,5.03125,4.9375,4.9375,1.0543969869613647,22800
1986-05-15,0.0,4.9375,4.84375,4.90625,1.0477232933044434,86000
1986-05-16,0.0,4.90625,4.71875,4.71875,1.0076829195022583,57200
1986-05-19,0.0,4.8125,4.71875,4.78125,1.0210301876068115,148000
1986-05-20,0.0,4.9375,4.75,4.90625,1.0477232933044434,405600
1986-05-21,0.0,5.0625,4.90625,4.9375,1.0543969869613647,232000
1986-05-22,0.0,5.375,4.875,5.3125,1.134477138519287,646000
1986-05-23,0.0,5.3125,5.25,5.25,1.1211305856704712,76800
1986-05-27,0.0,5.3125,5.21875,5.25,1.1211305856704712,196000
1986-05-28,0.0,5.3125,5.21875,5.28125,1.1278047561645508,430800
1986-05-29,0.0,5.28125,5.21875,5.25,1.1211305856704712,156000
1986-05-30,0.0,5.53125,5.25,5.53125,1.1811907291412354,866800
1986-06-02,0.0,5.5625,5.4375,5.5625,1.1878653764724731,176800
1986-06-03,0.0,5.46875,5.15625,5.15625,1.1011106967926025,246400
1986-06-04,0.0,5.3125,5.15625,5.1875,1.1077837944030762,110400
1986-06-05,0.0,5.1875,5.15625,5.15625,1.1011106967926025,151200
1986-06-06,0.0,5.15625,4.9375,4.9375,1.0543969869613647,136400
1986-06-09,0.0,4.96875,4.875,4.90625,1.0477232933044434,77600
1986-06-10,0.0,4.96875,4.8125,4.875,1.0517691373825073,368000
1986-06-11,0.0,4.875,4.71875,4.8125,1.0382846593856812,206400
1986-06-12,0.0,4.875,4.75,4.84375,1.045026421546936,97200
1986-06-13,0.0,5.15625,4.84375,5.15625,1.1124473810195923,274400
1986-06-16,0.0,5.3125,5.1875,5.3125,1.14615797996521,323200
1986-06-17,0.0,5.40625,5.3125,5.3125,1.14615797996521,244000
1986-06-18,0.0,5.40625,5.21875,5.3125,1.14615797996521,128800
1986-06-19,0.0,5.25,5.1875,5.1875,1.1191891431808472,12400
1986-06-20,0.0,5.25,5.125,5.15625,1.1124473810195923,127600
1986-06-23,0.0,5.21875,5.125,5.21875,1.1259318590164185,238400
1986-06-24,0.0,5.21875,5.15625,5.1875,1.1191891431808472,52400
1986-06-25,0.0,5.21875,5.15625,5.21875,1.1259318590164185,142400
1986-06-26,0.0,5.21875,5.15625,5.1875,1.1191891431808472,93600
1986-06-27,0.0,5.1875,5.15625,5.1875,1.1191891431808472,139200
1986-06-30,0.0,5.21875,5.15625,5.1875,1.1191891431808472,43600
1986-07-01,0.0,5.1875,5.15625,5.1875,1.1191891431808472,310400
1986-07-02,0.0,5.3125,5.15625,5.1875,1.1191891431808472,274800
1986-07-03,0.0,5.25,5.21875,5.25,1.132673978805542,168000
1986-07-07,0.0,5.3125,5.125,5.125,1.1057054996490479,942000
1986-07-08,0.0,5.0625,4.96875,4.96875,1.0719949007034302,17600
1986-07-09,0.0,5.0625,4.96875,5.03125,1.085479497909546,68800
1986-07-10,0.0,5.03125,4.9375,5.03125,1.085479497909546,142800
1986-07-11,0.0,5.03125,4.96875,5.03125,1.085479497909546,26000
1986-07-14,0.0,5.03125,4.9375,5.0,1.0787376165390015,173600
1986-07-15,0.0,5.0,4.875,4.875,1.0517691373825073,202800
1986-07-16,0.0,4.875,4.75,4.8125,1.0382846593856812,74800
1986-07-17,0.0,4.8125,4.625,4.6875,1.0113160610198975,556000
1986-07-18,0.0,4.75,4.75,4.75,1.0248000621795654,12000
1986-07-21,0.0,4.75,4.6875,4.71875,1.0180584192276,40000
1986-07-22,0.0,4.9375,4.71875,4.84375,1.045026421546936,434000
1986-07-23,0.0,4.9375,4.84375,4.875,1.0517691373825073,282800
1986-07-24,0.0,4.875,4.75,4.78125,1.031542181968689,197600
1986-07-25,0.0,4.8125,4.6875,4.71875,1.0180584192276,214400
1986-07-28,0.0,4.9375,4.8125,4.9375,1.0652530193328857,225200
1986-07-29,0.0,5.09375,4.875,5.09375,1.0989633798599243,228000
1986-07-30,0.0,5.15625,5.0625,5.15625,1.1124473810195923,108000
1986-07-31,0.0,5.15625,5.09375,5.15625,1.1124473810195923,78000
1986-08-01,0.0,5.1875,5.09375,5.15625,1.1124473810195923,19200
1986-08-04,0.0,5.1875,4.96875,5.03125,1.085479497909546,517200
1986-08-05,0.0,5.0625,5.0,5.0625,1.0922210216522217,388000
1986-08-06,0.0,5.0625,4.96875,5.0,1.0787376165390015,147200
1986-08-07,0.0,5.03125,4.90625,5.0,1.0787376165390015,1202400
1986-08-08,0.0,5.1875,5.0,5.125,1.1057054996490479,146000
1986-08-11,0.0,5.34375,5.1875,5.34375,1.1529005765914917,51200
1986-08-12,0.0,5.59375,5.28125,5.59375,1.2068374156951904,214400
1986-08-13,0.0,5.6875,5.46875,5.65625,1.220321536064148,845200
1986-08-14,0.0,5.71875,5.65625,5.65625,1.220321536064148,78800
1986-08-15,0.0,5.71875,5.65625,5.71875,1.2338061332702637,53200
1986-08-18,0.0,5.75,5.65625,5.6875,1.2270638942718506,18800
1986-08-19,0.0,5.71875,5.65625,5.65625,1.220321536064148,44800
1986-08-20,0.0,6.03125,5.65625,6.0,1.2944841384887695,231600
1986-08-21,0.0,6.125,6.0,6.0625,1.3079687356948853,607200
1986-08-22,0.0,6.125,6.0625,6.0625,1.3079687356948853,18800
1986-08-25,0.0,6.125,6.0625,6.125,1.3214528560638428,708400
1986-08-26,0.0,6.125,6.0625,6.125,1.3214528560638428,45200
1986-08-27,0.0,6.125,6.0,6.0625,1.3079687356948853,539600
1986-08-28,0.0,6.125,6.0625,6.125,1.3214528560638428,170800
1986-08-29,0.0,6.125,6.0625,6.125,1.3214528560638428,86800
1986-09-02,0.0,6.1875,6.09375,6.09375,1.314711093902588,19200
1986-09-03,0.0,6.0625,5.875,5.875,1.267516851425171,117600
1986-09-04,0.0,6.03125,5.875,6.03125,1.3012266159057617,199600
1986-09-05,0.0,6.0625,5.96875,6.0625,1.3079687356948853,489600
1986-09-08,0.0,6.0625,5.9375,5.96875,1.2877427339553833,211600
1986-09-09,0.0,6.0,5.875,5.875,1.2782238721847534,128800
1986-09-10,0.0,5.875,5.6875,5.6875,1.2374298572540283,346000
1986-09-11,0.0,5.6875,5.40625,5.40625,1.1762374639511108,272000
1986-09-12,0.0,5.40625,5.375,5.375,1.1694395542144775,10000
1986-09-15,0.0,5.375,5.28125,5.28125,1.1490421295166016,66000
1986-09-16,0.0,5.25,5.03125,5.125,1.1150461435317993,72800
1986-09-17,0.0,5.09375,5.03125,5.0625,1.1014485359191895,85600
1986-09-18,0.0,5.125,5.03125,5.03125,1.0946495532989502,145600
1986-09-19,0.0,5.09375,5.03125,5.0625,1.1014485359191895,60800
1986-09-22,0.0,5.09375,5.03125,5.03125,1.0946495532989502,84000
1986-09-23,0.0,5.09375,5.0625,5.09375,1.1082475185394287,34800
1986-09-24,0.0,5.09375,4.9375,4.96875,1.0810508728027344,344800
1986-09-25,0.0,5.0,4.875,4.9375,1.0742515325546265,121600
1986-09-26,0.0,4.96875,4.90625,4.90625,1.0674530267715454,40000
1986-09-29,0.0,4.96875,4.8125,4.84375,1.0538547039031982,49600
