Date,Open,High,Low,Close,Adj Close,Volume
1993-07-16,15.0,15.0,15.0,15.0,2.833223342895508,115200
1993-07-19,15.0,15.0,15.0,15.0,2.833223342895508,15500
1993-07-20,15.0,15.0,15.0,15.0,2.833223342895508,10900
1993-07-21,15.0,15.0,15.0,15.0,2.833223342895508,19900
1993-07-22,15.0,15.0,15.0,15.0,2.833223342895508,48100
1993-07-23,15.0,15.0,15.0,15.0,2.833223342895508,49800
1993-07-26,15.0,15.0,15.0,15.0,2.833223342895508,3800
1993-07-27,15.0,15.0,15.0,15.0,2.833223342895508,13200
1993-07-28,15.0,15.0,15.0,15.0,2.833223342895508,64600
1993-07-29,14.875,14.875,14.75,14.75,2.7860031127929688,1200
1993-07-30,14.75,14.75,14.75,14.75,2.7860031127929688,600
1993-08-02,14.75,14.75,14.75,14.75,2.7860031127929688,0
1993-08-03,14.75,14.75,14.75,14.75,2.7860031127929688,800
1993-08-04,14.625,14.625,14.5,14.5,2.7387843132019043,6000
1993-08-05,14.5,14.5,14.375,14.375,2.715174436569214,7000
1993-08-06,14.375,14.375,14.375,14.375,2.715174436569214,100
1993-08-09,14.375,14.375,14.375,14.375,2.715174436569214,0
1993-08-10,14.375,14.375,14.375,14.375,2.715174436569214,1400
1993-08-11,14.375,14.375,14.375,14.375,2.715174436569214,0
1993-08-12,14.25,14.375,14.25,14.375,2.715174436569214,4400
1993-08-13,14.375,14.375,14.375,14.375,2.715174436569214,500
1993-08-16,14.25,14.25,14.25,14.25,2.691561460494995,3300
1993-08-17,14.125,14.25,14.125,14.25,2.691561460494995,11200
1993-08-18,14.375,14.375,14.375,14.375,2.715174436569214,200
1993-08-19,14.375,14.375,14.375,14.375,2.715174436569214,0
1993-08-20,14.375,14.375,14.375,14.375,2.715174436569214,4100
1993-08-23,14.25,14.25,14.25,14.25,2.691561460494995,200
1993-08-24,14.25,14.25,14.25,14.25,2.691561460494995,300
1993-08-25,14.375,14.375,14.375,14.375,2.715174436569214,100
1993-08-26,14.5,14.625,14.5,14.625,2.7623918056488037,1700
1993-08-27,14.375,14.5,14.375,14.375,2.715174436569214,3000
1993-08-30,14.5,14.5,14.375,14.375,2.715174436569214,800
1993-08-31,14.25,14.25,14.25,14.25,2.691561460494995,8400
1993-09-01,14.375,14.375,14.375,14.375,2.715174436569214,1500
1993-09-02,14.5,14.5,14.5,14.5,2.7387843132019043,700
1993-09-03,14.5,14.5,14.5,14.5,2.7387843132019043,3800
1993-09-07,14.5,14.5,14.5,14.5,2.7387843132019043,600
1993-09-08,14.375,14.5,14.375,14.5,2.7387843132019043,1000
1993-09-09,14.5,14.5,14.5,14.5,2.7387843132019043,1400
1993-09-10,14.375,14.375,14.125,14.375,2.715174436569214,12700
1993-09-13,14.375,14.5,14.375,14.5,2.7387843132019043,2400
1993-09-14,14.25,14.25,14.25,14.25,2.7198855876922607,4000
1993-09-15,14.375,14.375,14.25,14.25,2.7198855876922607,2600
1993-09-16,14.25,14.375,14.25,14.25,2.7198855876922607,2300
1993-09-17,14.125,14.375,14.125,14.375,2.743746280670166,14500
1993-09-20,14.25,14.25,14.25,14.25,2.7198855876922607,300
1993-09-21,14.25,14.375,14.125,14.375,2.743746280670166,3300
1993-09-22,14.375,14.375,14.375,14.375,2.743746280670166,2000
1993-09-23,14.25,14.25,14.25,14.25,2.7198855876922607,2600
1993-09-24,14.375,14.375,14.25,14.25,2.7198855876922607,3600
1993-09-27,14.375,14.375,14.375,14.375,2.743746280670166,2500
1993-09-28,14.375,14.375,14.375,14.375,2.743746280670166,0
1993-09-29,14.375,14.5,14.375,14.5,2.767606019973755,6000
1993-09-30,14.375,14.5,14.375,14.375,2.743746280670166,7700
1993-10-01,14.625,14.625,14.25,14.5,2.767606019973755,19200
1993-10-04,14.375,14.625,14.375,14.625,2.79146146774292,8900
1993-10-05,14.5,14.75,14.5,14.75,2.815319061279297,4800
1993-10-06,14.625,14.875,14.625,14.875,2.839181423187256,3200
1993-10-07,14.875,14.875,14.875,14.875,2.839181423187256,0
1993-10-08,14.75,14.75,14.75,14.75,2.815319061279297,1000
1993-10-11,14.875,14.875,14.625,14.625,2.79146146774292,10600
1993-10-12,14.5,14.5,14.5,14.5,2.781491279602051,1800
1993-10-13,14.5,14.5,14.5,14.5,2.781491279602051,600
1993-10-14,14.5,14.625,14.5,14.625,2.805466413497925,900
1993-10-15,14.625,14.625,14.625,14.625,2.805466413497925,500
1993-10-18,14.625,14.625,14.25,14.375,2.7575106620788574,11700
1993-10-19,14.5,14.5,14.5,14.5,2.781491279602051,2000
1993-10-20,14.375,14.5,14.375,14.5,2.781491279602051,600
1993-10-21,14.375,14.625,14.375,14.375,2.7575106620788574,4500
1993-10-22,14.375,14.375,14.375,14.375,2.7575106620788574,0
1993-10-25,14.5,14.5,14.5,14.5,2.781491279602051,800
1993-10-26,14.375,14.5,14.375,14.5,2.781491279602051,4600
1993-10-27,14.375,14.375,14.375,14.375,2.7575106620788574,100
1993-10-28,14.625,14.625,14.625,14.625,2.805466413497925,1600
1993-10-29,14.625,14.75,14.625,14.75,2.829444169998169,6300
1993-11-01,14.75,14.875,14.625,14.875,2.8534226417541504,7200
1993-11-02,14.75,14.75,14.75,14.75,2.829444169998169,3400
1993-11-03,14.625,14.625,14.625,14.625,2.805466413497925,2700
1993-11-04,14.75,14.75,14.5,14.5,2.781491279602051,5300
1993-11-05,14.375,14.5,14.25,14.25,2.7335312366485596,6400
1993-11-08,14.25,14.25,14.25,14.25,2.7335312366485596,300
1993-11-09,14.5,14.625,14.5,14.625,2.805466413497925,3200
1993-11-10,14.5,14.5,14.375,14.5,2.781491279602051,5700
1993-11-11,14.375,14.375,14.25,14.25,2.7335312366485596,1400
1993-11-12,14.25,14.25,14.25,14.25,2.748188018798828,1000
1993-11-15,14.25,14.375,14.25,14.25,2.748188018798828,3200
1993-11-16,14.375,14.375,14.25,14.25,2.748188018798828,3200
1993-11-17,14.25,14.25,14.25,14.25,2.748188018798828,2500
1993-11-18,14.25,14.375,14.0,14.0,2.6999733448028564,6100
1993-11-19,14.0,14.0,14.0,14.0,2.6999733448028564,100
1993-11-22,13.875,13.875,13.5,13.75,2.651761054992676,5600
1993-11-23,13.625,13.75,13.625,13.75,2.651761054992676,1700
1993-11-24,13.75,13.75,13.75,13.75,2.651761054992676,0
1993-11-26,13.75,13.875,13.75,13.75,2.651761054992676,1400
1993-11-29,13.625,13.75,13.625,13.75,2.651761054992676,6100
1993-11-30,13.625,13.875,13.5,13.875,2.675868511199951,15200
1993-12-01,13.625,13.75,13.625,13.625,2.627654790878296,19400
1993-12-02,13.625,13.75,13.5,13.75,2.651761054992676,8000
1993-12-03,13.75,13.75,13.625,13.625,2.627654790878296,12600
1993-12-06,13.625,13.75,13.5,13.75,2.651761054992676,4400
1993-12-07,13.75,14.0,13.75,14.0,2.6999733448028564,5700
1993-12-08,14.0,14.0,13.875,13.875,2.675868511199951,3300
1993-12-09,14.0,14.0,13.75,13.875,2.675868511199951,17700
1993-12-10,13.875,14.0,13.875,14.0,2.6999733448028564,1700
1993-12-13,14.0,14.0,14.0,14.0,2.6999733448028564,0
1993-12-14,14.0,14.0,13.5,13.5,2.646843671798706,13900
1993-12-15,13.375,13.625,13.375,13.625,2.671351194381714,16200
1993-12-16,13.5,13.5,13.25,13.375,2.6223340034484863,14800
1993-12-17,13.25,13.375,13.25,13.375,2.6223340034484863,14800
1993-12-20,13.25,13.375,13.125,13.125,2.573317766189575,11200
1993-12-21,13.0,13.25,13.0,13.25,2.597825050354004,29500
1993-12-22,13.375,13.5,13.375,13.375,2.6223340034484863,15800
1993-12-23,13.5,13.5,13.25,13.25,2.597825050354004,17100
1993-12-27,13.5,13.625,13.375,13.375,2.6223340034484863,14500
1993-12-28,13.375,13.5,13.375,13.375,2.6223340034484863,4500
1993-12-29,13.25,13.375,13.125,13.375,2.6223340034484863,16200
1993-12-30,13.375,13.625,13.25,13.625,2.671351194381714,8500
1993-12-31,13.375,13.625,13.375,13.5,2.646843671798706,20700
1994-01-03,13.75,13.875,13.75,13.875,2.7203664779663086,5900
1994-01-04,13.75,14.125,13.75,14.125,2.769381523132324,10500
1994-01-05,14.0,14.125,14.0,14.125,2.769381523132324,12300
1994-01-06,14.125,14.125,14.0,14.0,2.7448716163635254,2500
1994-01-07,14.0,14.125,14.0,14.0,2.7448716163635254,2800
1994-01-10,14.0,14.375,14.0,14.25,2.7938873767852783,12300
1994-01-11,14.125,14.125,14.0,14.125,2.7840349674224854,4000
1994-01-12,13.875,13.875,13.875,13.875,2.734757900238037,2700
1994-01-13,14.0,14.0,13.875,13.875,2.734757900238037,4400
1994-01-14,14.0,14.0,13.875,13.875,2.734757900238037,5000
1994-01-17,13.875,14.0,13.75,13.75,2.7101216316223145,17900
1994-01-18,13.625,13.875,13.625,13.875,2.734757900238037,4700
1994-01-19,13.875,14.0,13.875,14.0,2.7593953609466553,7700
1994-01-20,14.0,14.125,13.875,14.0,2.7593953609466553,29500
1994-01-21,14.0,14.125,14.0,14.0,2.7593953609466553,5800
1994-01-24,14.0,14.0,13.875,14.0,2.7593953609466553,17000
1994-01-25,14.125,14.125,13.75,13.875,2.734757900238037,14900
1994-01-26,14.0,14.0,13.75,14.0,2.7593953609466553,3200
1994-01-27,14.0,14.125,14.0,14.125,2.7840349674224854,5900
1994-01-28,14.0,14.25,14.0,14.25,2.8086700439453125,5100
1994-01-31,14.375,14.5,14.25,14.25,2.8086700439453125,26700
1994-02-01,14.25,14.25,14.125,14.25,2.8086700439453125,4400
1994-02-02,14.125,14.375,14.125,14.25,2.8086700439453125,8500
1994-02-03,14.375,14.375,14.0,14.25,2.8086700439453125,15600
1994-02-04,14.125,14.125,14.0,14.0,2.7593953609466553,9000
1994-02-07,13.875,14.0,13.75,13.75,2.7101216316223145,8200
1994-02-08,13.625,13.75,13.5,13.5,2.6608471870422363,10700
1994-02-09,13.5,13.75,13.5,13.625,2.700084686279297,5600
1994-02-10,13.75,13.75,13.5,13.5,2.67531418800354,2000
1994-02-11,13.625,13.625,13.5,13.5,2.67531418800354,5200
1994-02-14,13.625,13.75,13.625,13.625,2.700084686279297,4800
1994-02-15,13.75,13.75,13.5,13.5,2.67531418800354,8300
1994-02-16,13.625,13.625,13.5,13.625,2.700084686279297,6200
1994-02-17,13.5,13.5,13.25,13.375,2.6505417823791504,12500
1994-02-18,13.375,13.375,13.125,13.125,2.600998878479004,9600
1994-02-22,13.125,13.25,13.0,13.125,2.600998878479004,8900
1994-02-23,13.0,13.125,13.0,13.0,2.576225757598877,11000
1994-02-24,13.0,13.125,13.0,13.125,2.600998878479004,4700
1994-02-25,13.0,13.125,12.875,13.0,2.576225757598877,12300
1994-02-28,13.125,13.125,13.125,13.125,2.600998878479004,1300
1994-03-01,13.125,13.375,13.125,13.375,2.6505417823791504,13800
1994-03-02,13.375,13.75,13.375,13.75,2.7248549461364746,8200
1994-03-03,13.75,14.0,13.625,14.0,2.774397850036621,10400
1994-03-04,13.875,13.875,13.75,13.75,2.7248549461364746,6500
1994-03-07,13.625,13.625,13.375,13.625,2.700084686279297,11500
1994-03-08,13.5,13.5,13.375,13.375,2.6505417823791504,2400
1994-03-09,13.25,13.5,13.25,13.5,2.67531418800354,3100
1994-03-10,13.5,13.5,13.0,13.0,2.576225757598877,13500
1994-03-11,12.875,13.0,12.75,13.0,2.576225757598877,4900
1994-03-14,12.875,13.0,12.875,12.875,2.5514538288116455,3700
1994-03-15,12.875,12.875,12.875,12.875,2.566204309463501,1200
1994-03-16,12.75,12.875,12.75,12.875,2.566204309463501,3800
1994-03-17,12.75,13.0,12.75,13.0,2.591118812561035,5900
1994-03-18,13.0,13.0,12.75,12.75,2.5412919521331787,7000
1994-03-21,12.875,13.0,12.875,12.875,2.566204309463501,8700
1994-03-22,12.75,13.0,12.75,13.0,2.591118812561035,11000
1994-03-23,12.875,13.0,12.875,13.0,2.591118812561035,1700
1994-03-24,12.875,13.125,12.75,12.75,2.5412919521331787,23200
1994-03-25,12.875,12.875,12.625,12.625,2.5163769721984863,5400
1994-03-28,12.75,12.75,12.625,12.75,2.5412919521331787,3400
1994-03-29,12.625,12.625,12.5,12.5,2.491460084915161,4300
1994-03-30,12.625,12.625,12.5,12.5,2.491460084915161,2400
1994-03-31,12.5,12.75,12.5,12.75,2.5412919521331787,5200
1994-04-04,12.5,12.5,12.375,12.5,2.491460084915161,3100
1994-04-05,12.75,13.125,12.75,13.125,2.616034746170044,8800
1994-04-06,13.0,13.125,13.0,13.125,2.616034746170044,1100
1994-04-07,13.0,13.125,13.0,13.125,2.616034746170044,5900
1994-04-08,13.125,13.125,12.75,12.875,2.566204309463501,10600
1994-04-11,12.875,13.0,12.75,12.75,2.5412919521331787,4400
1994-04-12,12.75,12.875,12.75,12.75,2.5559256076812744,2500
1994-04-13,12.875,12.875,12.625,12.875,2.5809807777404785,3200
1994-04-14,12.75,12.75,12.625,12.625,2.5308682918548584,2900
1994-04-15,12.625,12.75,12.625,12.625,2.5308682918548584,6800
1994-04-18,12.5,12.5,12.125,12.375,2.4807498455047607,7600
1994-04-19,12.25,12.25,12.0,12.25,2.4556920528411865,6700
1994-04-20,12.25,12.375,12.125,12.25,2.4556920528411865,13900
1994-04-21,12.375,12.5,12.25,12.25,2.4556920528411865,7100
1994-04-22,12.125,12.5,12.125,12.5,2.505807638168335,8100
1994-04-25,12.5,12.5,12.25,12.375,2.4807498455047607,23300
1994-04-26,12.375,12.375,12.25,12.25,2.4556920528411865,12200
1994-04-28,12.375,12.375,12.25,12.25,2.4556920528411865,9200
1994-04-29,12.25,12.5,12.25,12.5,2.505807638168335,23400
1994-05-02,12.375,12.625,12.25,12.625,2.5308682918548584,11100
1994-05-03,12.5,12.625,12.5,12.625,2.5308682918548584,500
1994-05-04,12.75,12.75,12.75,12.75,2.5559256076812744,8500
1994-05-05,12.625,12.75,12.5,12.75,2.5559256076812744,6700
1994-05-06,12.75,12.75,12.375,12.625,2.5308682918548584,3600
1994-05-09,12.625,12.625,12.25,12.25,2.4556920528411865,4500
1994-05-10,12.375,12.625,12.25,12.25,2.4556920528411865,12100
1994-05-11,12.125,12.5,12.125,12.25,2.47041392326355,9400
1994-05-12,12.25,12.5,12.25,12.25,2.47041392326355,6800
1994-05-13,12.375,12.5,12.375,12.375,2.4956209659576416,4900
1994-05-16,12.5,12.5,12.25,12.25,2.47041392326355,2000
1994-05-17,12.375,12.375,12.25,12.375,2.4956209659576416,6500
1994-05-18,12.25,12.5,12.25,12.25,2.47041392326355,5700
1994-05-19,12.375,12.5,12.25,12.5,2.5208287239074707,3700
1994-05-20,12.375,12.375,12.0,12.0,2.419997215270996,17900
1994-05-23,12.125,12.125,12.0,12.125,2.445206642150879,11100
1994-05-24,12.0,12.375,12.0,12.25,2.47041392326355,23600
1994-05-25,12.25,12.375,12.125,12.25,2.47041392326355,13200
1994-05-26,12.25,12.25,12.125,12.25,2.47041392326355,22700
1994-05-27,12.125,12.125,12.0,12.0,2.419997215270996,5500
1994-05-31,12.125,12.25,12.125,12.25,2.47041392326355,11000
1994-06-01,12.25,12.5,12.25,12.375,2.4956209659576416,15500
1994-06-02,12.5,12.625,12.375,12.625,2.5460402965545654,7700
1994-06-03,12.5,12.75,12.5,12.75,2.57124924659729,4500
1994-06-06,12.625,12.625,12.625,12.625,2.5460402965545654,1900
1994-06-07,12.625,12.875,12.625,12.75,2.57124924659729,6000
1994-06-08,12.625,12.875,12.625,12.625,2.5460402965545654,4100
1994-06-09,12.625,12.625,12.375,12.625,2.5460402965545654,8200
1994-06-10,12.5,12.875,12.5,12.875,2.5964550971984863,16700
1994-06-13,12.625,12.875,12.5,12.5,2.5208287239074707,12700
1994-06-14,12.375,12.625,12.375,12.625,2.5614089965820312,8400
