Date,Open,High,Low,Close,Adj Close,Volume
1991-02-21,15.0,15.125,15.0,15.125,2.2772185802459717,1700
1991-02-22,15.125,15.125,15.125,15.125,2.2772185802459717,2600
1991-02-25,15.0,15.125,15.0,15.125,2.2772185802459717,8700
1991-02-26,15.125,15.125,15.125,15.125,2.2772185802459717,11500
1991-02-27,15.0,15.125,15.0,15.125,2.2772185802459717,2200
1991-02-28,15.125,15.125,15.0,15.0,2.258397102355957,5700
1991-03-01,15.125,15.125,15.0,15.125,2.2772185802459717,4300
1991-03-04,15.0,15.125,15.0,15.125,2.2772185802459717,3600
1991-03-05,15.0,15.125,15.0,15.0,2.258397102355957,24900
1991-03-06,15.125,15.125,15.0,15.0,2.258397102355957,11800
1991-03-07,15.0,15.125,15.0,15.125,2.2772185802459717,22700
1991-03-08,15.125,15.125,15.0,15.0,2.258397102355957,11700
1991-03-11,15.125,15.125,15.0,15.0,2.258397102355957,16200
1991-03-12,15.125,15.125,15.0,15.0,2.258397102355957,6300
1991-03-13,15.125,15.125,15.0,15.0,2.258397102355957,5300
1991-03-14,15.0,15.125,15.0,15.0,2.258397102355957,12300
1991-03-15,15.0,15.125,15.0,15.125,2.2772185802459717,6200
1991-03-18,15.125,15.125,15.0,15.0,2.258397102355957,15600
1991-03-19,15.0,15.125,15.0,15.0,2.258397102355957,21900
1991-03-20,15.125,15.25,15.0,15.25,2.29604172706604,6300
1991-03-21,15.25,15.25,15.0,15.0,2.258397102355957,600
1991-03-22,15.25,15.25,15.125,15.125,2.2772185802459717,4400
1991-03-25,15.25,15.25,15.125,15.125,2.2772185802459717,2600
1991-03-26,15.25,15.375,15.125,15.125,2.2772185802459717,8700
1991-03-27,15.25,15.25,15.0,15.125,2.2772185802459717,8800
1991-03-28,15.125,15.375,15.125,15.375,2.3148610591888428,16500
1991-04-01,15.375,15.625,15.25,15.5,2.3336808681488037,10300
1991-04-02,15.375,15.5,15.25,15.5,2.3336808681488037,12100
1991-04-03,15.5,15.5,15.125,15.375,2.3148610591888428,8000
1991-04-04,15.25,15.375,15.25,15.375,2.3148610591888428,7700
1991-04-05,15.375,15.375,15.25,15.25,2.29604172706604,8100
1991-04-08,15.25,15.375,15.25,15.25,2.29604172706604,11700
1991-04-09,15.375,15.375,15.25,15.25,2.29604172706604,7100
1991-04-10,15.375,15.375,15.25,15.25,2.29604172706604,7900
1991-04-11,15.375,15.375,15.25,15.375,2.3148610591888428,18300
1991-04-12,15.375,15.375,15.375,15.375,2.3148610591888428,2400
1991-04-15,15.375,15.5,15.25,15.5,2.3336808681488037,15000
1991-04-16,15.375,15.375,15.25,15.375,2.3148610591888428,7000
1991-04-17,15.25,15.5,15.25,15.5,2.3336808681488037,8100
1991-04-18,15.375,15.5,15.25,15.375,2.3148610591888428,12000
1991-04-19,15.375,15.375,15.375,15.375,2.3148610591888428,5900
1991-04-22,15.375,15.375,15.25,15.375,2.3148610591888428,15900
1991-04-23,15.5,15.5,15.375,15.5,2.3336808681488037,9200
1991-04-24,15.5,15.5,15.375,15.375,2.3148610591888428,2600
1991-04-25,15.5,15.5,15.375,15.5,2.3336808681488037,4600
1991-04-26,15.5,15.5,15.375,15.5,2.3336808681488037,2500
1991-04-29,15.375,15.5,15.25,15.5,2.3336808681488037,8900
1991-04-30,15.5,15.5,15.25,15.25,2.29604172706604,7300
1991-05-01,15.375,15.5,15.375,15.5,2.3336808681488037,15600
1991-05-02,15.5,15.75,15.5,15.625,2.35249924659729,12900
1991-05-03,15.75,15.75,15.625,15.625,2.35249924659729,11100
1991-05-06,15.625,15.75,15.375,15.625,2.35249924659729,17200
1991-05-07,15.625,15.625,15.5,15.625,2.35249924659729,14700
1991-05-08,15.625,15.75,15.5,15.625,2.35249924659729,7800
1991-05-09,15.625,15.625,15.5,15.5,2.3461415767669678,8600
1991-05-10,15.625,15.75,15.375,15.5,2.3461415767669678,18300
1991-05-13,15.375,15.5,15.25,15.25,2.308302640914917,8900
1991-05-14,15.375,15.375,15.25,15.25,2.308302640914917,11700
1991-05-15,15.375,15.375,15.25,15.375,2.3272223472595215,7100
1991-05-16,15.25,15.375,15.25,15.25,2.308302640914917,6700
1991-05-17,15.375,15.375,15.375,15.375,2.3272223472595215,6600
1991-05-20,15.375,15.5,15.25,15.25,2.308302640914917,7400
1991-05-21,15.25,15.375,15.25,15.375,2.3272223472595215,7100
1991-05-22,15.25,15.5,15.25,15.25,2.308302640914917,16800
1991-05-23,15.375,15.375,15.25,15.375,2.3272223472595215,10000
1991-05-24,15.25,15.375,15.25,15.25,2.308302640914917,1000
1991-05-28,15.375,15.375,15.25,15.25,2.308302640914917,10000
1991-05-29,15.25,15.25,15.125,15.25,2.308302640914917,2500
1991-05-30,15.25,15.25,15.125,15.125,2.289381742477417,6000
1991-05-31,15.25,15.25,15.125,15.25,2.308302640914917,14600
1991-06-03,15.25,15.25,15.125,15.125,2.289381742477417,9900
1991-06-04,15.25,15.375,15.25,15.25,2.308302640914917,11400
1991-06-05,15.375,15.5,15.375,15.375,2.3272223472595215,8700
1991-06-06,15.5,15.625,15.5,15.5,2.3461415767669678,21300
1991-06-07,15.5,15.5,15.5,15.5,2.3461415767669678,5700
1991-06-10,15.5,15.5,15.25,15.375,2.339752674102783,5900
1991-06-11,15.375,15.375,15.25,15.375,2.339752674102783,10800
