Date,Open,High,Low,Close,Adj Close,Volume
1992-08-07,21.0,21.0,21.0,21.0,2.057837724685669,393100
1992-08-10,21.0,21.0,21.0,21.0,2.057837724685669,12500
1992-08-11,21.0,21.0,21.0,21.0,2.057837724685669,39100
1992-08-12,21.0,21.0,21.0,21.0,2.057837724685669,15000
1992-08-13,21.0,21.0,21.0,21.0,2.057837724685669,12200
1992-08-14,21.0,21.0,21.0,21.0,2.057837724685669,8900
1992-08-17,21.0,21.0,21.0,21.0,2.057837724685669,93300
1992-08-18,21.0,21.0,21.0,21.0,2.057837724685669,14200
1992-08-19,21.0,21.0,21.0,21.0,2.057837724685669,9900
1992-08-20,21.0,21.0,21.0,21.0,2.057837724685669,36900
1992-08-21,21.0,21.0,21.0,21.0,2.057837724685669,64100
1992-08-24,21.0,21.0,19.625,19.75,1.9353481531143188,80100
1992-08-25,19.75,19.875,19.5,19.5,1.9108495712280273,38300
1992-08-26,19.25,19.25,18.625,18.875,1.8496041297912598,65900
1992-08-27,19.0,20.0,18.875,19.5,1.9108495712280273,106100
1992-08-28,19.625,19.625,19.5,19.5,1.9108495712280273,26100
1992-08-31,19.625,19.625,19.25,19.375,1.898600459098816,27100
1992-09-01,19.625,19.625,19.5,19.625,1.9230989217758179,26200
1992-09-02,19.625,20.0,19.5,20.0,1.959845781326294,33600
1992-09-03,20.0,20.125,19.875,20.125,1.9720945358276367,17700
1992-09-04,20.25,20.25,20.0,20.0,1.959845781326294,19800
1992-09-08,20.125,20.125,19.875,19.875,1.9475959539413452,25300
1992-09-09,20.0,20.25,20.0,20.25,1.9843446016311646,18200
1992-09-10,20.25,20.25,19.875,20.25,1.9843446016311646,26800
1992-09-11,20.125,20.125,19.75,19.75,1.9353481531143188,15900
1992-09-14,19.75,20.25,19.75,20.0,1.959845781326294,29300
1992-09-15,20.0,20.0,19.75,19.75,1.9353481531143188,23400
1992-09-16,20.0,20.0,19.25,19.5,1.9108495712280273,16100
1992-09-17,19.5,19.75,19.25,19.25,1.8863518238067627,12500
1992-09-18,19.5,19.625,19.25,19.625,1.9230989217758179,23800
1992-09-21,19.75,20.0,19.625,20.0,1.959845781326294,21300
1992-09-22,20.0,20.25,20.0,20.125,1.9720945358276367,30500
1992-09-23,20.0,20.0,19.5,19.5,1.9108495712280273,10700
1992-09-24,19.625,19.75,19.375,19.375,1.898600459098816,12900
1992-09-25,19.375,19.5,19.25,19.5,1.9108495712280273,14800
1992-09-28,19.625,19.625,19.375,19.375,1.898600459098816,2200
1992-09-29,19.5,19.5,19.25,19.25,1.8863518238067627,13800
1992-09-30,19.5,19.5,19.25,19.375,1.898600459098816,9800
1992-10-01,19.25,19.625,19.25,19.375,1.898600459098816,17900
1992-10-02,19.5,19.5,19.25,19.5,1.9108495712280273,13600
1992-10-05,19.25,19.25,18.875,19.0,1.8618524074554443,12800
1992-10-06,19.0,19.125,18.75,19.0,1.8618524074554443,25700
1992-10-07,19.125,19.25,18.875,19.125,1.8741027116775513,130200
1992-10-08,19.0,19.5,19.0,19.5,1.9108495712280273,9800
1992-10-09,19.5,19.5,19.375,19.375,1.898600459098816,5100
1992-10-12,19.5,19.5,19.25,19.25,1.8863518238067627,4600
1992-10-13,19.25,19.5,19.25,19.375,1.898600459098816,7800
1992-10-14,19.25,19.375,19.25,19.25,1.8863518238067627,11100
1992-10-15,19.375,19.375,19.25,19.375,1.898600459098816,2300
1992-10-16,19.375,19.375,19.25,19.375,1.898600459098816,13000
1992-10-19,19.25,19.5,19.25,19.5,1.9108495712280273,2800
1992-10-20,19.5,19.5,19.375,19.5,1.9108495712280273,17000
1992-10-21,19.5,20.0,19.5,20.0,1.959845781326294,12000
1992-10-22,20.125,20.25,19.75,19.75,1.9353481531143188,7600
1992-10-23,19.875,19.875,19.625,19.75,1.9353481531143188,7700
1992-10-26,19.875,19.875,19.75,19.75,1.9353481531143188,4000
1992-10-27,19.5,19.875,19.5,19.875,1.9735771417617798,13900
1992-10-28,19.875,19.875,19.25,19.5,1.936340570449829,53900
1992-10-29,19.375,19.5,19.25,19.5,1.936340570449829,33900
1992-10-30,19.5,19.5,19.25,19.375,1.923928141593933,4800
1992-11-02,19.375,19.5,19.125,19.25,1.9115160703659058,28000
1992-11-03,19.375,19.375,19.125,19.125,1.8991035223007202,95200
1992-11-04,19.25,19.5,19.125,19.5,1.936340570449829,10500
1992-11-05,19.25,19.5,19.25,19.5,1.936340570449829,14400
1992-11-06,19.5,19.5,19.25,19.25,1.9115160703659058,6400
1992-11-09,19.25,19.375,19.25,19.375,1.923928141593933,3900
1992-11-10,19.5,19.625,19.5,19.625,1.9487534761428833,15100
1992-11-11,19.75,20.25,19.75,20.0,1.9859904050827026,15600
