Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,3.375,3.0,3.0,2.2084505558013916,7600
1980-03-18,0.0,3.25,2.875,2.875,2.116431474685669,1900
1980-03-19,0.0,3.25,2.875,2.875,2.116431474685669,2900
1980-03-20,0.0,3.25,2.875,2.875,2.116431474685669,1300
1980-03-21,0.0,3.25,2.875,2.875,2.116431474685669,11900
1980-03-24,0.0,3.125,2.75,2.75,2.024413585662842,6500
1980-03-25,0.0,3.125,2.75,2.75,2.024413585662842,95200
1980-03-26,0.0,3.125,2.75,2.75,2.024413585662842,13900
1980-03-27,0.0,2.875,2.5,2.5,1.8403751850128174,8500
1980-03-28,0.0,2.875,2.5,2.5,1.8403751850128174,11100
1980-03-31,0.0,2.875,2.5,2.5,1.8403751850128174,27100
1980-04-01,0.0,2.875,2.5,2.5,1.8403751850128174,6700
1980-04-02,0.0,3.0,2.625,2.625,1.9323939085006714,5700
1980-04-03,0.0,3.0,2.625,2.625,1.9323939085006714,4400
1980-04-07,0.0,3.0,2.625,2.625,1.9323939085006714,4400
1980-04-08,0.0,2.625,2.25,2.25,1.656337857246399,14500
1980-04-09,0.0,2.75,2.375,2.375,1.748356819152832,7100
1980-04-10,0.0,2.75,2.375,2.375,1.748356819152832,7800
1980-04-11,0.0,2.875,2.5,2.5,1.8403751850128174,4700
1980-04-14,0.0,2.75,2.375,2.375,1.748356819152832,1400
1980-04-15,0.0,2.75,2.375,2.375,1.748356819152832,1000
1980-04-16,0.0,2.75,2.375,2.375,1.748356819152832,700
1980-04-17,0.0,2.625,2.25,2.25,1.656337857246399,5200
1980-04-18,0.0,2.625,2.25,2.25,1.656337857246399,700
1980-04-21,0.0,2.625,2.25,2.25,1.656337857246399,1000
1980-04-22,0.0,2.625,2.25,2.25,1.656337857246399,8700
1980-04-23,0.0,2.625,2.25,2.25,1.656337857246399,5000
1980-04-24,0.0,2.625,2.25,2.25,1.656337857246399,3300
1980-04-25,0.0,2.5,2.125,2.125,1.5643188953399658,14300
1980-04-28,0.0,2.5,2.125,2.125,1.5643188953399658,3000
1980-04-29,0.0,2.625,2.25,2.25,1.656337857246399,2200
1980-04-30,0.0,2.625,2.25,2.25,1.656337857246399,4900
1980-05-01,0.0,2.625,2.25,2.25,1.656337857246399,5800
1980-05-02,0.0,2.625,2.25,2.25,1.656337857246399,11200
1980-05-05,0.0,2.75,2.375,2.375,1.748356819152832,500
1980-05-06,0.0,2.75,2.375,2.375,1.748356819152832,4300
1980-05-07,0.0,2.75,2.375,2.375,1.748356819152832,4900
1980-05-08,0.0,2.75,2.375,2.375,1.748356819152832,2200
1980-05-09,0.0,2.75,2.375,2.375,1.748356819152832,1200
1980-05-12,0.0,2.75,2.375,2.375,1.748356819152832,600
1980-05-13,0.0,2.625,2.25,2.25,1.656337857246399,5200
1980-05-14,0.0,2.625,2.25,2.25,1.656337857246399,10200
1980-05-15,0.0,2.625,2.25,2.25,1.656337857246399,7300
1980-05-16,0.0,2.75,2.375,2.375,1.748356819152832,3000
1980-05-19,0.0,2.875,2.5,2.5,1.8403751850128174,6300
