Date,Open,High,Low,Close,Adj Close,Volume
1992-06-16,4.375,4.625,4.375,4.625,3.579362630844116,108400
1992-06-17,4.75,5.0,4.6875,4.875,3.772841453552246,171200
1992-06-18,4.8125,4.8125,4.65625,4.75,3.67610239982605,135200
1992-06-19,4.71875,4.8125,4.6875,4.8125,3.7244715690612793,135600
1992-06-22,4.8125,4.8125,4.65625,4.71875,3.6519172191619873,163600
1992-06-23,4.6875,4.8125,4.6875,4.8125,3.7244715690612793,714800
1992-06-24,4.625,4.8125,4.625,4.8125,3.7244715690612793,2800
1992-06-25,4.8125,4.8125,4.71875,4.78125,3.7002880573272705,14800
1992-06-26,4.8125,4.8125,4.6875,4.78125,3.7002880573272705,82400
1992-06-29,4.8125,4.8125,4.75,4.8125,3.7244715690612793,87600
1992-06-30,4.8125,4.875,4.75,4.875,3.772841453552246,228000
1992-07-01,4.875,4.875,4.875,4.875,3.772841453552246,8400
1992-07-02,4.9375,5.0,4.8125,4.8125,3.7244715690612793,187600
1992-07-06,4.9375,5.125,4.875,5.125,3.966320753097534,72400
1992-07-07,5.125,5.3125,5.0,5.1875,4.0146894454956055,150000
1992-07-08,5.1875,5.1875,5.0625,5.125,3.966320753097534,210000
1992-07-09,5.1875,5.1875,5.125,5.1875,4.0146894454956055,106800
1992-07-10,5.125,5.3125,5.125,5.3125,4.111430644989014,130000
1992-07-13,5.3125,5.3125,5.1875,5.21875,4.038875579833984,37600
1992-07-14,5.3125,5.6875,5.25,5.5625,4.304910659790039,309200
1992-07-15,5.625,5.625,5.375,5.4375,4.208171367645264,530400
1992-07-16,5.5,5.5,5.375,5.4375,4.208171367645264,452800
1992-07-17,5.5,5.5,5.375,5.40625,4.183985233306885,303200
1992-07-20,5.46875,5.46875,5.28125,5.4375,4.208171367645264,44000
1992-07-21,5.4375,5.4375,5.375,5.4375,4.208171367645264,109200
1992-07-22,5.4375,5.4375,5.3125,5.375,4.159800052642822,46000
1992-07-23,5.5,5.75,5.25,5.5,4.2565388679504395,347400
1992-07-24,5.5,5.5,5.25,5.4375,4.208171367645264,185800
1992-07-27,5.4375,5.625,5.375,5.625,4.353279113769531,92200
1992-07-28,5.625,6.125,5.5,5.875,4.546758651733398,690400
1992-07-29,6.125,6.125,5.875,6.0625,4.691867828369141,187200
1992-07-30,6.0,6.125,5.9375,6.125,4.740237236022949,209800
1992-07-31,6.125,6.25,6.0,6.1875,4.788606643676758,158200
1992-08-03,6.1875,6.1875,5.9375,6.0625,4.691867828369141,227000
1992-08-04,6.1875,6.1875,6.0,6.0625,4.691867828369141,226200
1992-08-05,6.0625,6.0625,5.75,5.875,4.546758651733398,157200
1992-08-06,5.875,5.875,5.125,5.375,4.159800052642822,292000
1992-08-07,5.4375,5.4375,5.3125,5.3125,4.111430644989014,137800
1992-08-10,5.4375,5.4375,5.125,5.3125,4.1180195808410645,100000
1992-08-11,5.3125,5.3125,5.125,5.25,4.069572448730469,98800
1992-08-12,5.25,5.4375,5.125,5.375,4.16646671295166,183800
1992-08-13,5.375,5.875,5.25,5.8125,4.505598068237305,466600
1992-08-14,5.875,6.375,5.75,6.375,4.941623210906982,713400
1992-08-17,6.375,6.75,6.25,6.75,5.23230504989624,414400
1992-08-18,6.75,6.75,6.5,6.625,5.135411739349365,1663400
1992-08-19,6.75,6.75,6.3125,6.3125,4.89317512512207,748600
1992-08-20,6.5,6.5,6.25,6.3125,4.89317512512207,128000
1992-08-21,6.375,6.5,6.125,6.3125,4.89317512512207,263000
1992-08-24,6.1875,6.3125,6.0,6.0,4.650939464569092,97800
1992-08-25,6.1875,6.1875,6.0,6.125,4.7478346824646,214400
1992-08-26,6.1875,6.6875,6.125,6.6875,5.183859825134277,164800
1992-08-27,6.6875,6.75,6.5625,6.625,5.135411739349365,99200
1992-08-28,6.6875,6.6875,6.4375,6.5625,5.0869646072387695,111800
1992-08-31,6.625,6.75,6.5,6.75,5.23230504989624,147600
1992-09-01,6.6875,6.9375,6.5,6.9375,5.377647876739502,298800
1992-09-02,6.9375,7.1875,6.8125,6.9375,5.377647876739502,441000
1992-09-03,6.9375,7.0,6.75,6.9375,5.377647876739502,474200
1992-09-04,6.875,6.875,6.6875,6.875,5.3292012214660645,276400
1992-09-08,6.875,6.875,6.5,6.5,5.03851842880249,300800
1992-09-09,6.5,6.6875,6.25,6.4375,4.990070343017578,223200
1992-09-10,6.375,6.375,6.25,6.375,4.941623210906982,159400
1992-09-11,6.375,6.625,6.3125,6.625,5.135411739349365,644200
1992-09-14,6.625,6.75,6.5625,6.6875,5.183859825134277,373000
