Date,Open,High,Low,Close,Adj Close,Volume
1993-10-29,19.25,19.375,19.25,19.25,3.8899998664855957,1381000
1993-11-01,19.25,19.375,19.25,19.375,3.9152588844299316,136800
1993-11-02,19.25,19.375,18.625,18.75,3.7889604568481445,182600
1993-11-03,18.5,19.0,18.375,18.875,3.814218282699585,146300
1993-11-04,18.75,18.875,18.75,18.75,3.7889604568481445,48300
1993-11-05,18.75,18.875,18.75,18.75,3.7889604568481445,13900
1993-11-08,18.75,18.875,18.75,18.875,3.814218282699585,22800
1993-11-09,18.875,19.0,18.75,18.75,3.7889604568481445,10600
1993-11-10,18.875,19.0,18.875,18.875,3.814218282699585,143900
1993-11-11,18.875,18.875,18.875,18.875,3.814218282699585,29800
1993-11-12,18.875,19.0,18.875,19.0,3.8394782543182373,10500
1993-11-15,18.75,18.75,18.375,18.5,3.7384417057037354,181600
1993-11-16,18.375,18.5,18.375,18.375,3.7131829261779785,33400
1993-11-17,18.5,18.5,18.25,18.25,3.687922477722168,73900
1993-11-18,18.25,18.25,17.625,17.625,3.5616228580474854,75900
1993-11-19,17.0,17.125,16.375,16.875,3.410064458847046,126700
1993-11-22,16.625,16.875,16.5,16.875,3.410064458847046,32100
1993-11-23,16.75,17.125,16.75,17.125,3.4605841636657715,20300
1993-11-24,16.875,17.125,16.875,16.875,3.410064458847046,9800
1993-11-26,17.0,17.0,17.0,17.0,3.4353249073028564,2500
1993-11-29,17.125,17.125,16.875,17.125,3.4605841636657715,48100
1993-11-30,17.125,17.25,16.875,17.125,3.4605841636657715,38500
1993-12-01,17.125,17.125,17.0,17.0,3.4353249073028564,12700
1993-12-02,17.0,17.125,16.875,17.125,3.4605841636657715,14800
1993-12-03,17.125,17.625,17.125,17.5,3.536362409591675,19600
1993-12-06,17.5,17.5,17.25,17.5,3.536362409591675,6000
1993-12-07,17.5,17.5,17.0,17.25,3.485842227935791,25100
1993-12-08,17.25,17.25,16.875,17.125,3.4605841636657715,8500
1993-12-09,17.25,17.25,16.625,16.875,3.410064458847046,10600
1993-12-10,16.875,16.875,16.75,16.875,3.410064458847046,9500
1993-12-13,16.625,16.625,16.375,16.5,3.3342843055725098,69000
1993-12-14,16.625,17.0,16.5,16.75,3.3848063945770264,18000
1993-12-15,16.625,16.875,16.5,16.625,3.3595476150512695,36100
1993-12-16,16.625,16.625,16.5,16.5,3.3342843055725098,7900
1993-12-17,16.5,16.625,16.375,16.5,3.3342843055725098,9600
1993-12-20,16.5,16.5,15.75,16.0,3.2332465648651123,58500
1993-12-21,15.75,16.25,15.75,16.125,3.2585065364837646,54400
1993-12-22,16.25,16.5,16.25,16.5,3.3342843055725098,21800
1993-12-23,16.75,16.75,16.5,16.625,3.3595476150512695,12200
1993-12-27,16.75,16.875,16.75,16.75,3.3848063945770264,35500
1993-12-28,16.875,16.875,16.75,16.75,3.3848063945770264,49500
1993-12-29,16.75,16.875,16.625,16.625,3.3595476150512695,23600
1993-12-30,16.625,16.875,16.5,16.75,3.3848063945770264,66700
1993-12-31,16.875,16.875,16.5,16.625,3.3595476150512695,41100
1994-01-03,16.75,16.875,16.75,16.875,3.410064458847046,1900
