Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,9.6875,9.625,9.6875,1.8602169752120972,600
1973-02-22,0.0,9.75,9.875,9.75,1.8722180128097534,400
1973-02-23,0.0,9.6875,9.6875,9.6875,1.8602169752120972,200
1973-02-26,0.0,9.625,9.5,9.625,1.8482158184051514,1000
1973-02-27,0.0,9.625,9.5625,9.5625,1.836214303970337,400
1973-02-28,0.0,9.625,9.625,9.625,1.8482158184051514,200
1973-03-01,0.0,9.5625,9.5,9.5,1.8242124319076538,1000
1973-03-02,0.0,9.6875,9.625,9.6875,1.8602169752120972,400
1973-03-05,0.0,9.5625,9.25,9.25,1.7762073278427124,1600
1973-03-06,0.0,9.1875,9.125,9.125,1.752204179763794,1200
1973-03-07,0.0,9.1875,9.1875,9.1875,1.7642061710357666,200
1973-03-08,0.0,9.3125,9.3125,9.3125,1.7882078886032104,200
1973-03-09,0.0,9.25,9.125,9.125,1.752204179763794,1000
1973-03-12,0.0,9.125,9.125,9.125,1.752204179763794,1200
1973-03-13,0.0,9.0625,9.0,9.0,1.7473504543304443,600
1973-03-14,0.0,9.0625,9.0625,9.0625,1.7594845294952393,200
1973-03-15,0.0,9.0625,9.0625,9.0625,1.7594845294952393,200
1973-03-16,0.0,9.0,9.0,9.0,1.7473504543304443,200
1973-03-19,0.0,8.9375,8.9375,8.9375,1.7352159023284912,1200
1973-03-20,0.0,8.8125,8.625,8.625,1.6745433807373047,1200
1973-03-21,0.0,8.5625,8.5625,8.5625,1.6624089479446411,200
1973-03-22,0.0,8.375,8.375,8.375,1.6260063648223877,1200
1973-03-23,0.0,8.3125,8.25,8.25,1.6017383337020874,400
1973-03-26,0.0,8.125,8.125,8.125,1.577469825744629,200
1973-03-27,0.0,8.1875,8.125,8.1875,1.5896031856536865,400
1973-03-28,0.0,8.1875,8.1875,8.1875,1.5896031856536865,2400
1973-03-29,0.0,8.25,8.25,8.25,1.6017383337020874,600
1973-03-30,0.0,8.25,8.1875,8.25,1.6017383337020874,800
1973-04-02,0.0,8.25,8.25,8.25,1.6017383337020874,200
1973-04-03,0.0,8.375,8.25,8.375,1.6260063648223877,600
1973-04-04,0.0,8.25,8.125,8.125,1.577469825744629,3200
1973-04-05,0.0,8.25,8.1875,8.25,1.6017383337020874,400
1973-04-06,0.0,8.4375,8.3125,8.4375,1.6381409168243408,800
1973-04-09,0.0,8.5,8.375,8.5,1.650275468826294,1800
1973-04-10,0.0,8.5,8.4375,8.5,1.650275468826294,600
1973-04-11,0.0,8.375,8.375,8.375,1.6260063648223877,200
1973-04-12,0.0,8.625,8.5,8.625,1.6745433807373047,1200
1973-04-13,0.0,10.5,8.875,10.125,1.9657691717147827,17400
1973-04-16,0.0,11.75,11.5625,11.5625,2.2448599338531494,14800
1973-04-17,0.0,11.5625,10.875,11.1875,2.1720545291900635,13800
1973-04-18,0.0,11.0625,10.5,10.5,2.038574457168579,8400
1973-04-19,0.0,11.1875,10.625,11.0,2.1356513500213623,7000
