Date,Open,High,Low,Close,Adj Close,Volume
1983-04-14,0.0,4.75,4.625,4.625,3.0805447101593018,2984800
1983-04-15,0.0,4.625,4.5625,4.5625,3.0389175415039062,963200
1983-04-18,0.0,4.8125,4.5625,4.5625,3.0389175415039062,660400
1983-04-19,0.0,4.875,4.75,4.75,3.1638057231903076,441200
1983-04-20,0.0,4.875,4.8125,4.8125,3.2054338455200195,318000
1983-04-21,0.0,5.0625,4.875,4.875,3.2470614910125732,180000
1983-04-22,0.0,5.1875,5.0625,5.0625,3.371948003768921,204000
1983-04-25,0.0,5.3125,5.125,5.125,3.4135773181915283,347600
1983-04-26,0.0,5.375,5.25,5.25,3.4968369007110596,164800
1983-04-27,0.0,5.5625,5.5,5.5,3.663351058959961,300800
1983-04-28,0.0,5.5,5.375,5.375,3.580094575881958,113200
1983-04-29,0.0,5.5,5.375,5.375,3.580094575881958,77200
1983-05-02,0.0,5.1875,5.125,5.125,3.4135773181915283,132000
1983-05-03,0.0,5.3125,5.1875,5.1875,3.4552080631256104,109600
1983-05-04,0.0,5.375,5.25,5.25,3.4968369007110596,130000
1983-05-05,0.0,5.5,5.3125,5.3125,3.5384654998779297,69200
1983-05-06,0.0,5.75,5.625,5.625,3.746612548828125,256800
1983-05-09,0.0,5.8125,5.625,5.625,3.746612548828125,119600
1983-05-10,0.0,6.0625,5.9375,5.9375,3.954756498336792,128000
1983-05-11,0.0,6.0,5.8125,5.8125,3.8714969158172607,242400
1983-05-12,0.0,6.0,5.875,5.875,3.913127899169922,154400
1983-05-13,0.0,6.0,5.875,5.875,3.913127899169922,228800
1983-05-16,0.0,5.75,5.625,5.625,3.746612548828125,34800
1983-05-17,0.0,5.8125,5.6875,5.6875,3.7882378101348877,145600
1983-05-18,0.0,5.8125,5.75,5.75,3.829869508743286,38000
1983-05-19,0.0,5.8125,5.6875,5.6875,3.7882378101348877,86400
1983-05-20,0.0,5.8125,5.625,5.625,3.746612548828125,52000
1983-05-23,0.0,6.0,5.8125,5.8125,3.8714969158172607,104800
1983-05-24,0.0,6.3125,6.1875,6.1875,4.121270656585693,110000
