Date,Open,High,Low,Close,Adj Close,Volume
1986-10-24,0.0,10.0,10.0,10.0,0.2742150127887726,833500
1986-10-27,0.0,10.0,10.0,10.0,0.2742150127887726,166000
1986-10-28,0.0,10.125,10.0,10.125,0.27764272689819336,122400
1986-10-29,0.0,10.125,10.0,10.125,0.27764272689819336,57700
1986-10-30,0.0,10.125,10.0,10.125,0.27764272689819336,112300
1986-10-31,0.0,10.125,10.0,10.125,0.27764272689819336,86900
1986-11-03,0.0,10.125,10.0,10.125,0.27764272689819336,71500
1986-11-04,0.0,10.125,10.0,10.125,0.27764272689819336,90400
1986-11-05,0.0,10.125,10.0,10.125,0.27764272689819336,77400
1986-11-06,0.0,10.125,10.0,10.125,0.27764272689819336,70900
1986-11-07,0.0,10.125,10.0,10.125,0.27764272689819336,36900
1986-11-10,0.0,10.125,10.0,10.125,0.27764272689819336,44500
1986-11-11,0.0,10.125,10.0,10.125,0.27764272689819336,30800
1986-11-12,0.0,10.125,10.0,10.0,0.2742150127887726,73100
1986-11-13,0.0,10.125,10.0,10.0,0.2742150127887726,60900
1986-11-14,0.0,10.25,10.0,10.125,0.27764272689819336,31300
1986-11-17,0.0,10.25,10.0,10.125,0.27764272689819336,41300
1986-11-18,0.0,10.125,10.0,10.0,0.2742150127887726,69200
1986-11-19,0.0,10.125,10.0,10.125,0.27764272689819336,116300
1986-11-20,0.0,10.125,10.0,10.0,0.2742150127887726,36400
1986-11-21,0.0,10.125,10.0,10.125,0.27764272689819336,20900
1986-11-24,0.0,10.125,10.0,10.125,0.27764272689819336,27500
1986-11-25,0.0,10.125,10.0,10.125,0.27764272689819336,21800
1986-11-26,0.0,10.125,10.0,10.125,0.27764272689819336,31300
1986-11-28,0.0,10.125,10.0,10.125,0.27764272689819336,13900
1986-12-01,0.0,10.125,10.0,10.0,0.2742150127887726,16300
1986-12-02,0.0,10.125,10.0,10.125,0.27764272689819336,70400
1986-12-03,0.0,10.125,10.0,10.125,0.27764272689819336,64600
1986-12-04,0.0,10.125,10.0,10.0,0.2742150127887726,26900
1986-12-05,0.0,10.125,10.0,10.125,0.27764272689819336,64100
1986-12-08,0.0,10.125,10.0,10.0,0.2742150127887726,54600
1986-12-09,0.0,10.125,10.0,10.125,0.27764272689819336,48500
1986-12-10,0.0,10.125,10.0,10.0,0.2742150127887726,57900
1986-12-11,0.0,10.125,10.0,10.0,0.2742150127887726,57700
1986-12-12,0.0,10.0,9.375,9.625,0.26393210887908936,71100
1986-12-15,0.0,9.625,9.0,9.25,0.2536490261554718,87100
1986-12-16,0.0,9.25,8.875,9.125,0.2502213418483734,52100
1986-12-17,0.0,9.25,9.0,9.125,0.2502213418483734,42800
1986-12-18,0.0,9.25,9.0,9.0,0.24679361283779144,72800
1986-12-19,0.0,9.125,9.0,9.125,0.2502213418483734,28800
1986-12-22,0.0,9.125,8.875,8.875,0.24336585402488708,43000
