Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,10.6875,9.5,9.5,5.625051021575928,158600
1973-02-22,0.0,9.875,9.5625,9.5625,5.662056922912598,130400
1973-02-23,0.0,9.625,8.5,8.5625,5.069945812225342,430800
1973-02-26,0.0,8.8125,8.5625,8.625,5.10695219039917,134000
1973-02-27,0.0,8.6875,7.6875,8.0,4.736884117126465,137800
1973-02-28,0.0,8.5625,8.0,8.4375,4.995931148529053,124600
1973-03-01,0.0,8.5,7.9375,8.0,4.736884117126465,207400
1973-03-02,0.0,8.1875,7.9375,8.125,4.810896396636963,156200
1973-03-05,0.0,8.3125,8.125,8.125,4.810896396636963,79000
1973-03-06,0.0,9.125,8.125,9.0,5.3289947509765625,137800
1973-03-07,0.0,9.3125,8.6875,9.0,5.3289947509765625,126000
1973-03-08,0.0,9.0625,8.75,8.75,5.180964469909668,39000
1973-03-09,0.0,8.75,8.75,8.75,5.180964469909668,21400
1973-03-12,0.0,8.75,8.625,8.6875,5.143959045410156,23200
1973-03-13,0.0,8.625,8.5,8.5625,5.069945812225342,54000
1973-03-14,0.0,8.625,8.125,8.375,4.958923816680908,35200
1973-03-15,0.0,8.3125,8.0625,8.1875,4.84790563583374,17800
1973-03-16,0.0,8.25,8.0,8.0,4.736884117126465,75600
1973-03-19,0.0,8.0625,7.6875,7.75,4.588855743408203,40800
1973-03-20,0.0,7.9375,7.6875,7.9375,4.699875831604004,50400
1973-03-21,0.0,8.1875,7.0625,7.1875,4.255792140960693,106200
1973-03-22,0.0,7.1875,6.875,6.9375,4.107767105102539,105600
1973-03-23,0.0,7.375,6.8125,7.125,4.218785285949707,113800
1973-03-26,0.0,8.140625,7.25,8.125,4.810896396636963,64600
1973-03-27,0.0,8.5625,8.0,8.3125,4.9219183921813965,64800
1973-03-28,0.0,8.3125,7.8125,7.875,4.662871360778809,31400
1973-03-29,0.0,7.875,7.0,7.3125,4.329807281494141,453200
1973-03-30,0.0,7.3125,7.0,7.125,4.218785285949707,56600
1973-04-02,0.0,7.3125,7.125,7.125,4.218785285949707,26200
1973-04-03,0.0,7.25,7.125,7.125,4.218785285949707,22200
1973-04-04,0.0,7.1875,7.0625,7.0625,4.1817803382873535,79800
1973-04-05,0.0,7.125,7.0625,7.0625,4.1817803382873535,15600
1973-04-06,0.0,7.1875,7.0625,7.0625,4.1817803382873535,27800
1973-04-09,0.0,7.1875,6.8125,7.125,4.218785285949707,106200
1973-04-10,0.0,7.1875,6.625,6.625,3.922729969024658,51600
1973-04-11,0.0,6.6875,6.25,6.4375,3.8117103576660156,91600
1973-04-12,0.0,6.6875,6.25,6.25,3.7006900310516357,75400
1973-04-13,0.0,6.375,6.125,6.3125,3.7376961708068848,58400
1973-04-16,0.0,6.625,6.375,6.4375,3.8117103576660156,33200
1973-04-17,0.0,6.5625,6.375,6.4375,3.8117103576660156,35000
1973-04-18,0.0,6.75,6.375,6.75,3.9967472553253174,25000
1973-04-19,0.0,6.6875,6.4375,6.5,3.8487188816070557,25000
1973-04-23,0.0,6.4375,6.25,6.25,3.7006900310516357,26800
1973-04-24,0.0,6.3125,6.0,6.0625,3.5896711349487305,24600
1973-04-25,0.0,6.0625,5.5,5.5,3.2566072940826416,87400
1973-04-26,0.0,6.0625,5.125,6.0625,3.5896711349487305,143400
1973-04-27,0.0,6.0625,5.4375,5.625,3.330620765686035,38800
1973-04-30,0.0,6.375,5.9375,6.1875,3.6636850833892822,88400
1973-05-01,0.0,6.25,5.9375,6.1875,3.6636850833892822,54400
